Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes:";
1612281139.2343035,1927,-1.651996374130249;;;;;;
1612281143.3468237,1941,-3.4562528133392334;;;;;;
1612281143.3468237,1943,-1.7642550468444824;;;;;;
1612281143.3468237,1949,-1.346298336982727;;;;;;
1612281145.6995342,1953,-1.0755221843719482;;;;;;
1612281147.6047835,1962,-3.06638765335083;;;;;;
1612281147.6047835,1964,-1.2203090190887451;;;;;;
1612281147.6047835,1968,-1.480238437652588;;;;;;
1612281149.6104274,1972,-1.392606258392334;;;;;;
1612281151.8713791,1980,-3.24627423286438;;;;;;
1612281151.8713791,1988,-1.311732530593872;;;;;;
1612281153.9129212,1992,-1.1466679573059082;;;;;;
1612281155.9495406,2002,-1.651604175567627;;;;;;
1612281155.9505224,2004,-1.3165340423583984;;;;;;
1612281155.9505224,2006,-1.1796038150787354;;;;;;
1612281159.8897698,2020,-1.0217283964157104;;;;;;
1612281159.8897698,2022,-1.4369394779205322;;;;;;
1612281161.9185872,2032,-3.514346122741699;;;;;;
1612281161.9185872,2039,-0.9959243535995483;;;;;;
1612281164.3408158,2041,-1.221562147140503;;;;;;
1612281164.3408158,2043,-1.5827665328979492;;;;;;
1612281166.544956,2059,-2.5292305946350098;;;;;;
1612281169.0482368,2063,-1.21148681640625;;;;;;
1612281169.04923,2066,-2.4351723194122314;;;;;;
1612281171.0638435,2078,-1.3710384368896484;;;;;;
1612281173.1302695,2080,-1.0837514400482178;;;;;;
1612281173.1302695,2088,-1.1530210971832275;;;;;;
1612281175.1685328,2094,-1.0483944416046143;;;;;;
1612281175.1685328,2097,-2.4079411029815674;;;;;;
1612281181.459089,2123,-1.10430109500885;;;;;;
1612281181.459089,2129,-0.9524469375610352;;;;;;
1612281183.6397004,2135,-1.0211520195007324;;;;;;
1612281183.6397004,2136,-2.4378504753112793;;;;;;
1612281183.6397004,2137,-2.4244863986968994;;;;;;
1612281186.2202744,2142,-2.778080940246582;;;;;;
1612281186.2202744,2144,-1.6434683799743652;;;;;;
1612281186.2202744,2146,-1.0837821960449219;;;;;;
1612281192.2533724,2179,-2.4346656799316406;;;;;;
1612281194.6101046,2183,-2.9159188270568848;;;;;;
1612281194.6101046,2185,-1.2954481840133667;;;;;;
1612281194.6101046,2188,-1.1413726806640625;;;;;;
1612281196.6440983,2190,-0.9695217609405518;;;;;;
1612281196.6450934,2199,-2.960814952850342;;;;;;
1612281198.6269195,2201,-1.106907606124878;;;;;;
1612281198.6269195,2205,-3.163989543914795;;;;;;
1612281198.6269195,2209,-1.4293668270111084;;;;;;
1612281200.7433248,2213,-1.1675374507904053;;;;;;
1612281200.7433248,2217,-1.1846001148223877;;;;;;
1612281203.0332086,2223,-1.4065146446228027;;;;;;
1612281203.0332086,2226,-3.4793782234191895;;;;;;
1612281204.936114,2230,-1.2976794242858887;;;;;;
1612281204.937143,2234,-1.302891731262207;;;;;;
1612281204.937143,2238,-1.0949985980987549;;;;;;
1612281207.2070699,2241,-1.439400553703308;;;;;;
1612281211.2131734,2260,-1.5037938356399536;;;;;;
1612281211.2131734,2266,-1.0964868068695068;;;;;;
1612281213.6945074,2272,-1.656015396118164;;;;;;
1612281213.6945074,2274,-1.0848976373672485;;;;;;
1612281213.6945074,2276,-1.1020870208740234;;;;;;
1612281215.5385795,2280,-1.108396291732788;;;;;;
1612281215.5385795,2286,-1.0594655275344849;;;;;;
1612281217.5043237,2292,-1.0859899520874023;;;;;;
1612281217.5043237,2296,-1.527256965637207;;;;;;
1612281219.7185874,2301,-1.5319236516952515;;;;;;
1612281221.8179755,2312,-1.2195172309875488;;;;;;
1612281221.8179755,2314,-2.468196392059326;;;;;;
1612281221.8189728,2318,-1.1736295223236084;;;;;;
1612281223.8764734,2320,-1.0412089824676514;;;;;;
1612281223.8764734,2325,-1.0587536096572876;;;;;;
1612281223.8764734,2327,-1.0443365573883057;;;;;;
1612281223.8764734,2329,-1.0618150234222412;;;;;;
1612281225.8442135,2334,-1.070369005203247;;;;;;
1612281227.9685352,2349,-1.5448739528656006;;;;;;
1612281229.8928392,2359,-1.6331428289413452;;;;;;
1612281232.1906965,2363,-1.498581051826477;;;;;;
1612281233.910729,2375,-3.195556640625;;;;;;
1612281235.9032989,2383,-3.3948941230773926;;;;;;
1612281235.9032989,2385,-1.4719797372817993;;;;;;
1612281235.9032989,2387,-1.0624333620071411;;;;;;
1612281235.9032989,2389,-1.0821995735168457;;;;;;
1612281239.5428562,2401,-3.4425010681152344;;;;;;
1612281239.5428562,2406,-2.496790885925293;;;;;;
1612281241.6735163,2419,-1.176025629043579;;;;;;
1612281244.0254612,2423,-1.1187756061553955;;;;;;
1612281244.0254612,2427,-1.1175947189331055;;;;;;
1612281244.0254612,2429,-0.9855635762214661;;;;;;
