Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes"
1612198306.6035383,2215,-1.0794942378997803;;;;;
1612198306.8868346,2216,-2.4092953205108643;;;;;
1612198307.1810486,2218,-1.0035171508789062;;;;;
1612198307.910098,2222,-1.0367838144302368;;;;;
1612198308.91825,2228,-1.1969801187515259;;;;;
1612198309.5242236,2233,-2.4842662811279297;;;;;
1612198310.572421,2236,-2.515331268310547;;;;;
1612198311.1977491,2241,-1.182100772857666;;;;;
1612198313.857656,2252,-2.5233938694000244;;;;;
1612198314.1738167,2255,-2.469341278076172;;;;;
1612198315.0903556,2259,-1.2505896091461182;;;;;
1612198315.7515771,2261,-1.0559237003326416;;;;;
1612198316.7329538,2266,-1.0292868614196777;;;;;
1612198316.7329538,2267,-2.435925006866455;;;;;
1612198317.2406528,2269,-0.9875485897064209;;;;;
1612198318.2060163,2272,-2.455127477645874;;;;;
1612198321.0352778,2287,-1.2077572345733643;;;;;
1612198322.8484073,2296,-1.2245986461639404;;;;;
1612198323.549495,2300,-1.1532505750656128;;;;;
1612198325.452486,2311,-2.3897433280944824;;;;;
1612198327.0402422,2319,-1.2777153253555298;;;;;
1612198327.3384461,2321,-1.2738821506500244;;;;;
1612198327.904931,2323,-1.1090004444122314;;;;;
1612198328.4654326,2325,-1.0694935321807861;;;;;
1612198330.637195,2336,-2.4531238079071045;;;;;
1612198331.5796754,2340,-2.4264566898345947;;;;;
1612198333.9978323,2352,-1.080470085144043;;;;;
1612198334.8659947,2356,-1.1317652463912964;;;;;
1612198336.0737975,2362,-1.089277744293213;;;;;
1612198336.0737975,2363,-2.3827922344207764;;;;;
1612198337.2027495,2368,-1.1782212257385254;;;;;
1612198338.9576774,2379,-1.1947946548461914;;;;;
1612198339.6847334,2383,-1.0573527812957764;;;;;
1612198340.9917834,2388,-2.4809317588806152;;;;;
1612198341.9173303,2394,-1.247427225112915;;;;;
1612198342.3641057,2396,-1.0510090589523315;;;;;
1612198342.693224,2398,-0.9429855942726135;;;;;
1612198343.055257,2400,-1.1512253284454346;;;;;
1612198343.3674471,2402,-1.0143730640411377;;;;;
1612198345.3840709,2412,-1.1897811889648438;;;;;
1612198347.4531422,2422,-1.128108263015747;;;;;
1612198349.7627277,2432,-1.0970420837402344;;;;;
1612198351.53203,2443,-1.0585567951202393;;;;;
1612198353.520683,2453,-1.3756096363067627;;;;;
1612198354.8132274,2461,-0.8883253335952759;;;;;
1612198357.1220815,2475,-1.0872573852539062;;;;;
1612198357.7384093,2479,-0.9579470157623291;;;;;
1612198359.0207157,2485,-1.0959434509277344;;;;;
1612198360.0190644,2489,-1.2884125709533691;;;;;
1612198360.3541439,2490,-2.4921693801879883;;;;;
1612198361.5467427,2496,-1.2274179458618164;;;;;
1612198362.106259,2498,-1.4075040817260742;;;;;
1612198362.6687334,2500,-2.4124338626861572;;;;;
1612198362.6687334,2501,-2.412804365158081;;;;;
1612198363.8894708,2506,-1.2724215984344482;;;;;
1612198369.866584,2537,-1.2150036096572876;;;;;
1612198370.2784524,2539,-1.0601205825805664;;;;;
1612198370.6385574,2541,-1.1138850450515747;;;;;
1612198372.3250139,2551,-1.2304009199142456;;;;;
1612198373.8030405,2556,-2.4318370819091797;;;;;
1612198374.844277,2563,-2.4883668422698975;;;;;
1612198375.249852,2565,-1.1677498817443848;;;;;
1612198375.5550382,2567,-1.1827218532562256;;;;;
1612198376.8934596,2575,-1.0809277296066284;;;;;
1612198377.312374,2577,-0.9523811340332031;;;;;
1612198377.5905972,2579,-1.0722191333770752;;;;;
1612198378.4942162,2583,-1.0835411548614502;;;;;
1612198379.8486316,2591,-0.9805221557617188;;;;;
1612198380.795066,2594,-2.429095506668091;;;;;
