Wall time,Step,Value;;;;;Average Reward of the last 50 Episodes:
1612188878.5446625,1056,-1.5932303667068481;;;;;
1612188879.8532164,1060,-1.4339148998260498;;;;;
1612188881.6428385,1066,-1.5148491859436035;;;;;
1612188882.2680447,1068,-1.3140593767166138;;;;;
1612188882.8907082,1070,-1.557154655456543;;;;;
1612188884.0737014,1074,-1.4640932083129883;;;;;
1612188886.6259754,1082,-1.3489775657653809;;;;;
1612188887.9088023,1086,-1.5310039520263672;;;;;
1612188889.1300068,1090,-1.4588046073913574;;;;;
1612188889.697749,1092,-1.4779495000839233;;;;;
1612188891.5612085,1098,-1.3575353622436523;;;;;
1612188892.1740181,1100,-1.363281488418579;;;;;
1612188892.82436,1102,-1.5733689069747925;;;;;
1612188894.0517237,1106,-1.4575016498565674;;;;;
1612188894.7019594,1108,-1.483506679534912;;;;;
1612188895.3133254,1110,-1.5763401985168457;;;;;
1612188896.7734487,1114,-1.5217266082763672;;;;;
1612188898.1357946,1118,-1.5149457454681396;;;;;
1612188898.8638341,1120,-1.4273653030395508;;;;;
1612188901.2255228,1126,-1.5679552555084229;;;;;
1612188901.7830634,1128,-1.4934812784194946;;;;;
1612188902.4362864,1130,-1.3727967739105225;;;;;
1612188903.078569,1132,-1.5800385475158691;;;;;
1612188903.6500545,1134,-1.5429621934890747;;;;;
1612188904.2235162,1136,-1.4069727659225464;;;;;
1612188904.8578377,1138,-1.5086946487426758;;;;;
1612188905.4641917,1140,-1.4418585300445557;;;;;
1612188906.811592,1144,-1.4687390327453613;;;;;
1612188907.6384127,1146,-1.3856879472732544;;;;;
1612188910.7462986,1154,-1.5573956966400146;;;;;
1612188911.4074106,1156,-1.324446439743042;;;;;
1612188912.1594014,1158,-1.5845903158187866;;;;;
1612188913.4677384,1162,-1.540283203125;;;;;
1612188914.1997824,1164,-1.3270714282989502;;;;;
1612188914.8625987,1166,-1.3234326839447021;;;;;
1612188915.5563264,1168,-1.3130607604980469;;;;;
1612188916.930335,1172,-1.5869483947753906;;;;;
1612188918.2371044,1176,-1.4606435298919678;;;;;
1612188919.5425198,1180,-1.3621984720230103;;;;;
1612188920.8411987,1184,-1.4872374534606934;;;;;
1612188922.147988,1188,-1.4958412647247314;;;;;
1612188923.4530737,1192,-1.3200592994689941;;;;;
1612188924.1148195,1194,-1.4907729625701904;;;;;
1612188924.7625794,1196,-1.5468201637268066;;;;;
1612188926.781075,1202,-1.5669864416122437;;;;;
1612188929.4812312,1210,-1.546034574508667;;;;;
1612188930.2135854,1212,-1.3722730875015259;;;;;
1612188931.5456882,1216,-1.3927677869796753;;;;;
1612188932.226456,1218,-1.3504924774169922;;;;;
1612188933.5972981,1222,-1.518164873123169;;;;;
1612188936.1930048,1230,-1.5033938884735107;;;;;
1612188936.8355782,1232,-1.40122389793396;;;;;
1612188938.1997657,1236,-1.5487251281738281;;;;;
1612188939.5976672,1240,-1.3748996257781982;;;;;
1612188942.1795135,1248,-1.527981162071228;;;;;
1612188944.1730604,1254,-1.4479987621307373;;;;;
1612188944.806463,1256,-1.5416631698608398;;;;;
1612188946.2663121,1260,-1.5738015174865723;;;;;
1612188946.9763815,1262,-1.5459773540496826;;;;;
1612188947.6687055,1264,-1.432037591934204;;;;;
1612188948.3300245,1266,-1.4621331691741943;;;;;
1612188949.089581,1268,-1.552404522895813;;;;;
1612188949.7763538,1270,-1.4347994327545166;;;;;
1612188951.0463102,1274,-1.3315949440002441;;;;;
1612188951.6771379,1276,-1.3500087261199951;;;;;
1612188954.3320968,1284,-1.4090135097503662;;;;;
1612188954.9893541,1286,-1.4975800514221191;;;;;
1612188956.3552291,1290,-1.5264804363250732;;;;;
1612188957.7405787,1294,-1.5666449069976807;;;;;
1612188959.865472,1300,-1.5648034811019897;;;;;
1612188961.2954922,1304,-1.3096978664398193;;;;;
1612188962.0245848,1306,-1.5190412998199463;;;;;
1612188962.7396965,1308,-1.3927987813949585;;;;;
1612188964.9179676,1314,-1.3947460651397705;;;;;
1612188965.5947275,1316,-1.4560902118682861;;;;;
1612188966.2714143,1318,-1.3778808116912842;;;;;
1612188966.9939795,1320,-1.3296825885772705;;;;;
1612188967.6661973,1322,-1.5643950700759888;;;;;
1612188969.0479448,1326,-1.4031012058258057;;;;;
1612188969.7180645,1328,-1.487313985824585;;;;;
1612188970.358717,1330,-1.5027101039886475;;;;;
1612188971.81191,1334,-1.4989185333251953;;;;;
1612188972.47106,1336,-1.3206976652145386;;;;;
1612188973.1123226,1338,-1.4183003902435303;;;;;
