Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes:"
1612186721.480208,1590,-2.5185461044311523;;;;;
1612186722.0147724,1593,-2.452247381210327;;;;;
1612186723.3561623,1598,-1.2368206977844238;;;;;
1612186724.153034,1602,-3.1148159503936768;;;;;
1612186724.438295,1604,-1.2182003259658813;;;;;
1612186725.203259,1608,-3.103764295578003;;;;;
1612186726.4010851,1615,-0.9955435991287231;;;;;
1612186727.845302,1623,-1.3516263961791992;;;;;
1612186730.8532612,1637,-1.6573054790496826;;;;;
1612186731.1793897,1639,-3.1342673301696777;;;;;
1612186731.6012669,1641,-1.6687116622924805;;;;;
1612186731.8964727,1643,-3.1193583011627197;;;;;
1612186732.4877975,1647,-1.0964994430541992;;;;;
1612186733.7713487,1653,-0.9910184144973755;;;;;
1612186734.1683068,1655,-1.6666183471679688;;;;;
1612186734.620105,1657,-1.5352959632873535;;;;;
1612186735.9166067,1663,-1.639970064163208;;;;;
1612186736.2028677,1665,-0.8855283856391907;;;;;
1612186736.7095428,1667,-1.0618362426757812;;;;;
1612186737.3717778,1669,-1.6702871322631836;;;;;
1612186740.3467886,1684,-1.2273964881896973;;;;;
1612186740.8354602,1686,-1.241927146911621;;;;;
1612186741.9175932,1691,-1.0664708614349365;;;;;
1612186744.6364696,1703,-1.2421317100524902;;;;;
1612186745.6387782,1706,-2.4339330196380615;;;;;
1612186748.97547,1722,-1.3382914066314697;;;;;
1612186749.3983169,1724,-1.5326006412506104;;;;;
1612186750.0984437,1728,-1.0466334819793701;;;;;
1612186750.3698478,1730,-1.0971609354019165;;;;;
1612186750.7139354,1732,-0.8924299478530884;;;;;
1612186751.6594007,1737,-1.0685083866119385;;;;;
1612186751.9945173,1738,-2.4990382194519043;;;;;
1612186752.7195935,1742,-1.3654289245605469;;;;;
1612186753.4416692,1746,-1.1245687007904053;;;;;
1612186755.0673614,1754,-2.567192792892456;;;;;
1612186755.4997644,1756,-1.1162506341934204;;;;;
1612186757.1328385,1764,-1.1156431436538696;;;;;
1612186757.4150844,1766,-1.7548422813415527;;;;;
