Wall time,Step,Value;;;;"Average Reward; Last 50 Episodes:";
1612190936.4184034,1827,-1.239008903503418;;;;;
1612190937.5394335,1835,-1.2211380004882812;;;;;
1612190938.1034596,1839,-1.0549145936965942;;;;;
1612190938.6579654,1843,-1.2138898372650146;;;;;
1612190938.9342375,1845,-1.206990361213684;;;;;
1612190941.0757709,1859,-1.154916763305664;;;;;
1612190941.3550677,1861,-1.1433719396591187;;;;;
1612190941.6572165,1863,-1.2257897853851318;;;;;
1612190942.5268917,1869,-1.1597614288330078;;;;;
1612190944.8269496,1885,-1.096984624862671;;;;;
1612190945.4712627,1889,-1.121734380722046;;;;;
1612190946.698147,1897,-1.1372874975204468;;;;;
1612190946.9973474,1899,-1.255534291267395;;;;;
1612190947.856077,1905,-1.0645219087600708;;;;;
1612190948.424564,1909,-1.2750985622406006;;;;;
1612190949.0159512,1913,-1.1628539562225342;;;;;
1612190950.5449386,1923,-1.0979559421539307;;;;;
1612190953.7324574,1945,-1.2296338081359863;;;;;
1612190954.349807,1949,-1.2036700248718262;;;;;
1612190956.0575533,1961,-1.1769397258758545;;;;;
1612190956.3368356,1963,-1.195997953414917;;;;;
1612190956.9338837,1967,-1.20205819606781;;;;;
1612190957.52336,1971,-1.1371502876281738;;;;;
1612190958.7152364,1979,-1.1284698247909546;;;;;
1612190959.85756,1987,-1.2403085231781006;;;;;
1612190960.4080915,1991,-1.229867935180664;;;;;
1612190961.8137894,2001,-1.2159440517425537;;;;;
1612190962.113987,2003,-1.250837802886963;;;;;
1612190962.4171855,2005,-1.1451563835144043;;;;;
1612190964.7149599,2021,-1.117443561553955;;;;;
1612190966.415415,2033,-1.2307666540145874;;;;;
1612190967.5324762,2041,-1.0920119285583496;;;;;
1612190967.8157163,2043,-1.2265918254852295;;;;;
1612190968.092932,2045,-1.233864188194275;;;;;
1612190970.799962,2063,-1.1354656219482422;;;;;
1612190971.4406452,2067,-1.1683778762817383;;;;;
1612190972.4057078,2073,-1.1378450393676758;;;;;
1612190974.2734163,2085,-1.0753525495529175;;;;;
1612190974.596142,2087,-1.262096643447876;;;;;
1612190976.659078,2101,-1.1519209146499634;;;;;
1612190977.2385292,2105,-1.1745307445526123;;;;;
1612190983.2619085,2145,-1.0609782934188843;;;;;
1612190983.5411532,2147,-1.0527359247207642;;;;;
1612190983.8353648,2149,-1.059079647064209;;;;;
1612190984.6594768,2155,-1.1713550090789795;;;;;
1612190984.9447143,2157,-1.1854801177978516;;;;;
1612190985.2230704,2159,-1.0569782257080078;;;;;
1612190990.657999,2195,-1.1409533023834229;;;;;
1612190991.5007474,2201,-1.0892151594161987;;;;;
1612190992.0732417,2205,-1.2163280248641968;;;;;
1612190994.132743,2219,-1.1582378149032593;;;;;
1612190994.4189785,2221,-1.1984003782272339;;;;;
1612190995.5430365,2229,-1.157734751701355;;;;;
1612190996.1163352,2233,-1.121443510055542;;;;;
1612190996.667838,2237,-1.2380125522613525;;;;;
1612190998.1278567,2247,-1.1343305110931396;;;;;
1612190998.6654377,2251,-1.258324384689331;;;;;
1612190999.281784,2255,-1.2031196355819702;;;;;
1612191000.4685998,2263,-1.125272274017334;;;;;
1612191003.2912993,2283,-1.0518430471420288;;;;;
1612191005.8426554,2299,-1.1701982021331787;;;;;
1612191006.1378863,2301,-1.1447885036468506;;;;;
1612191006.4400854,2303,-1.2153875827789307;;;;;
1612191007.0140386,2307,-1.2197318077087402;;;;;
1612191007.874738,2313,-1.077439308166504;;;;;
1612191008.6961408,2319,-1.1119260787963867;;;;;
1612191009.261464,2323,-1.2007858753204346;;;;;
1612191010.097055,2329,-1.2717856168746948;;;;;
1612191011.9040813,2341,-1.1870495080947876;;;;;
1612191012.4973238,2345,-1.202620267868042;;;;;
1612191013.0678222,2349,-1.2173322439193726;;;;;
1612191013.3570588,2351,-1.2059590816497803;;;;;
1612191014.2020755,2357,-1.1688554286956787;;;;;
1612191014.7476163,2361,-1.159260869026184;;;;;
1612191015.6798348,2367,-1.156630516052246;;;;;
1612191018.0237086,2383,-1.1375503540039062;;;;;
1612191020.1403632,2397,-1.178903341293335;;;;;
1612191021.8984315,2409,-1.1259605884552002;;;;;
1612191023.1036303,2417,-1.0912230014801025;;;;;
1612191023.3994486,2419,-1.2260239124298096;;;;;
1612191023.6827269,2421,-1.1619848012924194;;;;;
1612191023.9766781,2423,-1.047797441482544;;;;;
1612191025.846373,2435,-1.0913138389587402;;;;;
1612191026.7320938,2441,-1.0783880949020386;;;;;
1612191028.7956285,2455,-1.0764784812927246;;;;;
1612191029.3839772,2459,-1.2387398481369019;;;;;
1612191030.2760935,2465,-1.1046018600463867;;;;;
1612191030.5723019,2467,-1.2453581094741821;;;;;
1612191031.452972,2473,-1.1336171627044678;;;;;
1612191033.207136,2485,-1.1065548658370972;;;;;
1612191033.7945898,2489,-1.2087783813476562;;;;;
1612191034.6937213,2495,-1.1543036699295044;;;;;
1612191035.565391,2501,-1.1041104793548584;;;;;
1612191035.860329,2503,-1.1794013977050781;;;;;
1612191036.17646,2505,-1.147037386894226;;;;;
1612191036.4587119,2507,-1.1395292282104492;;;;;
1612191036.741948,2509,-1.2219538688659668;;;;;
1612191038.538052,2521,-1.1668767929077148;;;;;
1612191042.09878,2545,-1.153622031211853;;;;;
1612191043.85828,2557,-1.162632942199707;;;;;
1612191045.3440802,2567,-1.043451189994812;;;;;
1612191046.6236887,2575,-1.1328577995300293;;;;;
1612191048.6231267,2589,-1.0953072309494019;;;;;
1612191049.209558,2593,-1.0809766054153442;;;;;
1612191050.665666,2603,-1.0946338176727295;;;;;
1612191050.9629147,2605,-1.1478779315948486;;;;;
1612191051.8322954,2611,-1.1384656429290771;;;;;
1612191052.1514413,2613,-1.1207324266433716;;;;;
1612191052.7174678,2617,-1.2200298309326172;;;;;
1612191053.0007505,2619,-1.181922435760498;;;;;
1612191053.854068,2625,-1.082890510559082;;;;;
1612191058.7437265,2659,-1.1771748065948486;;;;;
1612191059.0159886,2661,-1.128310203552246;;;;;
1612191059.2922697,2663,-1.1904704570770264;;;;;
1612191060.7191544,2673,-1.25581955909729;;;;;
1612191061.6059446,2679,-1.134122371673584;;;;;
1612191062.7236555,2687,-1.2426347732543945;;;;;
1612191063.008404,2689,-1.205876350402832;;;;;
1612191063.3115933,2691,-1.1656614542007446;;;;;
1612191064.4648206,2699,-1.279707431793213;;;;;
1612191064.742277,2701,-1.1338735818862915;;;;;
1612191065.635674,2707,-1.0639413595199585;;;;;
1612191066.792352,2715,-1.2344003915786743;;;;;
1612191067.3625677,2719,-1.1224985122680664;;;;;
1612191071.084541,2745,-1.1991288661956787;;;;;
1612191071.3647926,2747,-1.2252980470657349;;;;;
1612191073.9569428,2765,-1.1015067100524902;;;;;
1612191074.2522542,2767,-1.116683006286621;;;;;
1612191077.4063427,2789,-1.2637028694152832;;;;;
1612191079.6523032,2805,-1.2400484085083008;;;;;
1612191079.9305587,2807,-1.1351439952850342;;;;;
1612191080.7653284,2813,-1.241850733757019;;;;;
1612191081.3238366,2817,-1.0726643800735474;;;;;
1612191081.6101046,2819,-1.2245839834213257;;;;;
1612191083.8922977,2835,-1.0956101417541504;;;;;
1612191084.185513,2837,-1.164847493171692;;;;;
1612191084.4947147,2839,-1.1734542846679688;;;;;
1612191085.6211693,2847,-1.1242002248764038;;;;;
1612191086.2096453,2851,-1.1161597967147827;;;;;
1612191086.7671223,2855,-1.1203060150146484;;;;;
1612191089.07698,2871,-1.2287575006484985;;;;;
1612191090.4752316,2881,-1.1436593532562256;;;;;
1612191090.750483,2883,-1.1533797979354858;;;;;
1612191091.6341221,2889,-1.1210780143737793;;;;;
1612191093.6560268,2903,-1.0843465328216553;;;;;
1612191097.1556923,2927,-1.1208542585372925;;;;;
1612191098.5682786,2937,-1.1418559551239014;;;;;
1612191098.8395534,2939,-1.11946439743042;;;;;
1612191099.3993025,2943,-1.0933619737625122;;;;;
1612191099.6715577,2945,-1.089430809020996;;;;;
1612191101.3670437,2957,-1.2172996997833252;;;;;
1612191103.399671,2971,-1.207855463027954;;;;;
1612191103.6818929,2973,-1.1966859102249146;;;;;
1612191106.2530305,2991,-1.2458709478378296;;;;;
1612191107.403022,2999,-1.1278175115585327;;;;;
1612191107.9634247,3003,-1.235733985900879;;;;;
1612191109.1165593,3011,-1.137343406677246;;;;;
1612191111.7594445,3029,-1.0699434280395508;;;;;
1612191112.352963,3033,-1.1146221160888672;;;;;
1612191113.2857838,3039,-1.227074146270752;;;;;
1612191113.9178753,3043,-1.083668828010559;;;;;
1612191114.2120745,3045,-1.2101163864135742;;;;;
1612191115.6771922,3055,-1.1143680810928345;;;;;
1612191118.0234323,3071,-1.1188960075378418;;;;;
1612191118.6494544,3075,-1.1420332193374634;;;;;
1612191120.6639948,3089,-1.113982081413269;;;;;
1612191120.9362698,3091,-1.0908986330032349;;;;;
1612191122.117753,3099,-1.2892112731933594;;;;;
1612191123.5385263,3109,-1.0651695728302002;;;;;
1612191124.382144,3115,-1.066193699836731;;;;;
1612191124.9615722,3119,-1.0750312805175781;;;;;
1612191125.823878,3125,-1.1436426639556885;;;;;
1612191126.6725082,3131,-1.1380810737609863;;;;;
1612191127.8272097,3139,-1.1532129049301147;;;;;
1612191130.1248462,3155,-1.0847110748291016;;;;;
1612191132.3698819,3171,-1.1925312280654907;;;;;
1612191132.9713688,3175,-1.1196955442428589;;;;;
1612191133.5502744,3179,-1.176086664199829;;;;;
1612191134.435768,3185,-1.1342272758483887;;;;;
1612191134.7071702,3187,-1.0559529066085815;;;;;
1612191136.4178934,3199,-1.1746735572814941;;;;;
1612191136.746262,3201,-1.1090593338012695;;;;;
1612191139.122234,3217,-1.178065538406372;;;;;
1612191139.967941,3223,-1.0960652828216553;;;;;
1612191140.247203,3225,-1.2108577489852905;;;;;
1612191140.5254488,3227,-1.1873998641967773;;;;;
1612191140.8057005,3229,-1.1984329223632812;;;;;
1612191141.3691933,3233,-1.0829739570617676;;;;;
1612191142.2529972,3239,-1.2317653894424438;;;;;
1612191144.3084946,3253,-1.0537550449371338;;;;;
1612191144.612679,3255,-1.121572494506836;;;;;
1612191146.0279298,3265,-1.123228669166565;;;;;
1612191146.6113522,3269,-1.0992450714111328;;;;;
1612191146.9166207,3271,-1.2115247249603271;;;;;
1612191147.2307806,3273,-1.0896207094192505;;;;;
1612191149.8822904,3291,-1.1965668201446533;;;;;
1612191151.065678,3299,-1.1990268230438232;;;;;
1612191151.6429887,3303,-1.2542569637298584;;;;;
1612191151.9427671,3305,-1.2513504028320312;;;;;
1612191152.5511734,3309,-1.0981096029281616;;;;;
1612191154.045388,3319,-1.1459574699401855;;;;;
1612191154.3472817,3321,-1.229305624961853;;;;;
1612191154.9169803,3325,-1.1831886768341064;;;;;
