Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes:"
1612301353.9267876,1479,-1.115789532661438;;;;;
1612301358.73428,1481,-1.128208875656128;;;;;
1612301358.73428,1483,-1.0914186239242554;;;;;
1612301358.73428,1485,-1.6315727233886719;;;;;
1612301358.73428,1487,-1.2966225147247314;;;;;
1612301358.73428,1492,-1.4907506704330444;;;;;
1612301358.7352781,1494,-2.3901500701904297;;;;;
1612301358.7362843,1498,-1.6219003200531006;;;;;
1612301363.1086977,1504,-1.6534008979797363;;;;;
1612301363.1086977,1508,-1.0830559730529785;;;;;
1612301363.1086977,1510,-3.700207233428955;;;;;
1612301363.1086977,1511,-2.4160966873168945;;;;;
1612301368.079505,1523,-1.6763123273849487;;;;;
1612301368.0805306,1524,-2.429852247238159;;;;;
1612301368.0805306,1528,-1.5764744281768799;;;;;
1612301368.0805306,1532,-2.423292398452759;;;;;
1612301368.081526,1539,-0.9959083795547485;;;;;
1612301373.0406067,1545,-1.6709747314453125;;;;;
1612301373.0406067,1550,-2.4226877689361572;;;;;
1612301373.0416389,1552,-1.2779432535171509;;;;;
1612301373.0416389,1556,-3.4949240684509277;;;;;
1612301373.042601,1558,-2.5288002490997314;;;;;
1612301377.618958,1562,-1.0343960523605347;;;;;
1612301377.619973,1572,-1.2667961120605469;;;;;
1612301377.619973,1577,-1.1640379428863525;;;;;
1612301382.6601539,1581,-1.3170044422149658;;;;;
1612301382.6601539,1587,-1.6548640727996826;;;;;
1612301387.660147,1601,-1.5609076023101807;;;;;
1612301387.660147,1609,-1.184491753578186;;;;;
1612301387.6611679,1614,-1.2968254089355469;;;;;
1612301387.6621542,1618,-3.3102149963378906;;;;;
1612301393.2284884,1620,-1.5106252431869507;;;;;
1612301393.2294862,1628,-1.5324487686157227;;;;;
1612301393.2294862,1632,-1.633193016052246;;;;;
1612301393.2294862,1634,-1.1345044374465942;;;;;
1612301397.312192,1640,-1.623070478439331;;;;;
1612301397.312192,1644,-1.2664105892181396;;;;;
1612301397.3131893,1648,-1.4974660873413086;;;;;
1612301397.3131893,1654,-1.321900486946106;;;;;
1612301397.3131893,1657,-1.1592555046081543;;;;;
1612301397.3137355,1659,-1.912959337234497;;;;;
1612301401.974348,1663,-1.612536907196045;;;;;
1612301401.9753165,1671,-1.1058179140090942;;;;;
1612301401.9753165,1678,-1.233064889907837;;;;;
1612301406.9221857,1692,-1.324824571609497;;;;;
1612301406.9221857,1694,-1.5011487007141113;;;;;
1612301406.9221857,1696,-3.1686336994171143;;;;;
1612301406.9221857,1698,-1.6154805421829224;;;;;
1612301411.8729162,1702,-1.4227601289749146;;;;;
1612301411.8729162,1704,-1.4311800003051758;;;;;
1612301411.8729162,1707,-2.429969549179077;;;;;
1612301411.8729162,1709,-1.3379321098327637;;;;;
1612301411.8739479,1711,-1.1865513324737549;;;;;
1612301411.8739479,1717,-1.637549877166748;;;;;
1612301411.8749135,1719,-3.3260154724121094;;;;;
1612301417.413436,1721,-1.479372262954712;;;;;
1612301417.413436,1723,-1.6454657316207886;;;;;
1612301417.413436,1727,-1.8686883449554443;;;;;
1612301417.4144337,1739,-1.6708664894104004;;;;;
1612301422.3910904,1741,-1.2954875230789185;;;;;
1612301422.3910904,1747,-1.1896462440490723;;;;;
1612301427.064209,1760,-1.5386357307434082;;;;;
1612301427.064209,1765,-2.454148530960083;;;;;
1612301427.0662353,1777,-1.238628625869751;;;;;
1612301427.0662353,1779,-1.1395403146743774;;;;;
1612301431.7108152,1781,-1.595909833908081;;;;;
1612301431.7108152,1785,-1.8958072662353516;;;;;
1612301431.7108152,1787,-1.2977126836776733;;;;;
1612301431.711847,1789,-1.7232694625854492;;;;;
1612301431.711847,1795,-1.3688056468963623;;;;;
1612301431.711847,1797,-1.557861089706421;;;;;
1612301436.538231,1801,-1.0053284168243408;;;;;
1612301436.538231,1805,-1.255312442779541;;;;;
1612301436.538231,1806,-2.4587137699127197;;;;;
1612301436.538231,1814,-1.2421541213989258;;;;;
1612301436.538231,1815,-2.54282283782959;;;;;
1612301441.343385,1822,-2.470571994781494;;;;;
1612301441.343385,1824,-1.6912670135498047;;;;;
1612301441.343385,1826,-1.4338526725769043;;;;;
1612301441.343385,1828,-3.338642120361328;;;;;
1612301441.343385,1833,-1.196984052658081;;;;;
1612301441.343385,1834,-2.4460439682006836;;;;;
1612301441.343385,1836,-1.6180305480957031;;;;;
1612301445.729264,1841,-1.5965263843536377;;;;;
1612301445.729264,1843,-3.608579397201538;;;;;
1612301445.729264,1858,-1.6087150573730469;;;;;
1612301450.592252,1865,-1.4922890663146973;;;;;
1612301450.592252,1869,-1.5802602767944336;;;;;
1612301450.5932746,1873,-1.2988214492797852;;;;;
1612301450.5932746,1875,-1.2225499153137207;;;;;
1612301450.594272,1879,-2.5352580547332764;;;;;
1612301455.4204812,1881,-1.0963443517684937;;;;;
1612301455.4204812,1885,-1.803318977355957;;;;;
1612301455.4204812,1886,-2.434998035430908;;;;;
1612301455.4204812,1887,-2.450667381286621;;;;;
1612301455.4204812,1889,-1.6981241703033447;;;;;
1612301455.4204812,1895,-1.7397884130477905;;;;;
1612301459.7428887,1911,-1.764242172241211;;;;;
1612301459.7438858,1915,-1.605126142501831;;;;;
1612301459.7438858,1919,-1.5440683364868164;;;;;
1612301464.4006512,1922,-2.8027918338775635;;;;;
1612301464.4006512,1924,-1.0468826293945312;;;;;
1612301464.4006512,1930,-1.5565919876098633;;;;;
1612301464.4006512,1934,-1.189469814300537;;;;;
1612301464.4006512,1936,-1.7645902633666992;;;;;
1612301464.4006512,1937,-2.522216796875;;;;;
1612301469.3753607,1946,-1.2903897762298584;;;;;
1612301469.376347,1959,-1.110740303993225;;;;;
1612301473.9502778,1961,-1.532274603843689;;;;;
1612301473.9502778,1967,-1.0644735097885132;;;;;
1612301473.9502778,1971,-1.8192288875579834;;;;;
1612301478.7089126,1983,-1.4911136627197266;;;;;
1612301478.7089126,1985,-1.4002563953399658;;;;;
1612301478.7089126,1989,-1.6507914066314697;;;;;
1612301478.7089126,1992,-1.0653029680252075;;;;;
1612301483.7477484,2000,-1.6157238483428955;;;;;
1612301483.748747,2008,-1.6145820617675781;;;;;
1612301483.748747,2011,-1.2296117544174194;;;;;
1612301483.749778,2019,-0.9888017177581787;;;;;
1612301488.1242936,2020,-2.4946401119232178;;;;;
1612301488.1242936,2022,-1.4030523300170898;;;;;
1612301488.1252918,2036,-1.2862746715545654;;;;;
1612301488.1252918,2037,-2.4925642013549805;;;;;
1612301492.7294495,2049,-1.3362188339233398;;;;;
1612301492.7294495,2055,-3.001249313354492;;;;;
1612301492.7294495,2056,-2.4779603481292725;;;;;
1612301492.7304463,2058,-1.1141061782836914;;;;;
1612301497.8173642,2076,-1.69456148147583;;;;;
1612301501.9747012,2080,-1.6348025798797607;;;;;
1612301501.9747012,2086,-1.2712819576263428;;;;;
1612301501.9747012,2094,-1.1736352443695068;;;;;
1612301501.9747012,2098,-1.0833184719085693;;;;;
1612301506.2600574,2100,-1.7100720405578613;;;;;
1612301506.2600574,2107,-1.2179337739944458;;;;;
1612301506.2600574,2108,-2.426396608352661;;;;;
1612301506.2600574,2112,-3.2800145149230957;;;;;
1612301506.2600574,2114,-3.5229790210723877;;;;;
1612301506.2600574,2116,-3.3485097885131836;;;;;
1612301511.6210876,2120,-1.3625671863555908;;;;;
1612301511.6210876,2121,-2.5504488945007324;;;;;
1612301516.0972571,2140,-1.239187479019165;;;;;
1612301516.0972571,2144,-1.4305527210235596;;;;;
1612301516.0972571,2146,-1.1432037353515625;;;;;
1612301516.0972571,2152,-0.920541524887085;;;;;
1612301516.0972571,2154,-1.3342230319976807;;;;;
1612301516.0972571,2156,-1.1355974674224854;;;;;
1612301519.9271817,2162,-2.8803601264953613;;;;;
1612301519.9271817,2164,-1.7121036052703857;;;;;
1612301519.9271817,2165,-2.4173455238342285;;;;;
1612301524.4947057,2193,-1.6678664684295654;;;;;
1612301524.4961166,2199,-1.4813547134399414;;;;;
1612301529.6783886,2203,-1.0877665281295776;;;;;
1612301529.6793704,2205,-1.7136415243148804;;;;;
1612301529.6793704,2208,-1.5786224603652954;;;;;
1612301529.6793704,2210,-1.5054256916046143;;;;;
1612301529.6793704,2215,-2.512708902359009;;;;;
1612301534.4486427,2221,-1.115579605102539;;;;;
1612301534.4486427,2223,-1.3626765012741089;;;;;
1612301534.4486427,2225,-1.1127960681915283;;;;;
