Wall time,Step,Value;;;;;Durchschittlicher Reward in den letzten 50 Episoden:;;;
1612376413.8543994,1414,-1.1287950277328491;;;;;;;;
1612376413.8543994,1415,-2.5369226932525635;;;;;;;;
1612376414.971753,1418,-1.0240672826766968;;;;;;;;
1612376415.5756078,1420,-1.0328311920166016;;;;;;;;
1612376415.5756078,1421,-2.4645590782165527;;;;;;;;
1612376416.0804317,1422,-2.526688575744629;;;;;;;;
1612376416.772097,1424,-1.0726784467697144;;;;;;;;
1612376417.1127784,1426,-1.0850694179534912;;;;;;;;
1612376418.4898953,1430,-2.510040283203125;;;;;;;;
1612376419.0251591,1432,-0.9959059953689575;;;;;;;;
1612376421.4756298,1441,-2.5326178073883057;;;;;;;;
1612376422.7989395,1444,-1.1273024082183838;;;;;;;;
1612376422.7989395,1445,-2.4156901836395264;;;;;;;;
1612376423.275144,1446,-2.477569103240967;;;;;;;;
1612376423.852416,1448,-0.9724055528640747;;;;;;;;
1612376424.442044,1450,-2.51688814163208;;;;;;;;
1612376425.7132645,1456,-1.0660903453826904;;;;;;;;
1612376425.7132645,1457,-2.440945863723755;;;;;;;;
1612376427.145931,1463,-1.2260794639587402;;;;;;;;
1612376427.510212,1465,-1.2248735427856445;;;;;;;;
1612376428.0401776,1467,-1.2379313707351685;;;;;;;;
1612376429.4352896,1471,-1.0562124252319336;;;;;;;;
1612376430.3901966,1474,-1.1044461727142334;;;;;;;;
1612376430.748812,1477,-2.535670757293701;;;;;;;;
1612376431.056988,1479,-2.997877597808838;;;;;;;;
1612376431.926801,1483,-1.3412420749664307;;;;;;;;
1612376433.386576,1487,-2.4138829708099365;;;;;;;;
1612376433.8644898,1488,-2.449496269226074;;;;;;;;
1612376434.335595,1490,-1.0595033168792725;;;;;;;;
1612376435.5117884,1494,-1.070115566253662;;;;;;;;
1612376436.1058583,1496,-1.0708956718444824;;;;;;;;
1612376436.1058583,1497,-2.5146257877349854;;;;;;;;
1612376436.4797487,1499,-2.4843180179595947;;;;;;;;
1612376437.2151995,1501,-1.043687343597412;;;;;;;;
1612376437.531052,1502,-2.4308502674102783;;;;;;;;
1612376439.0214849,1511,-2.800408363342285;;;;;;;;
1612376440.3623905,1519,-1.45138680934906;;;;;;;;
1612376440.702514,1521,-1.0020778179168701;;;;;;;;
1612376441.6250157,1525,-1.121107816696167;;;;;;;;
1612376442.5347881,1529,-1.293755292892456;;;;;;;;
1612376443.6059258,1533,-1.0794281959533691;;;;;;;;
1612376444.0387335,1534,-2.458543300628662;;;;;;;;
1612376444.3589077,1536,-1.021571159362793;;;;;;;;
1612376444.3589077,1537,-2.4466047286987305;;;;;;;;
1612376444.7817495,1539,-1.0997774600982666;;;;;;;;
1612376445.0829675,1541,-1.0617256164550781;;;;;;;;
1612376445.8719974,1545,-1.2673962116241455;;;;;;;;
1612376446.6608884,1549,-1.0369768142700195;;;;;;;;
1612376447.5774333,1553,-1.4926013946533203;;;;;;;;
1612376448.8149152,1558,-1.2407432794570923;;;;;;;;
1612376449.587849,1562,-1.1531012058258057;;;;;;;;
1612376449.8925247,1564,-1.3372383117675781;;;;;;;;
1612376450.3941348,1566,-2.8674495220184326;;;;;;;;
1612376451.8023987,1573,-0.9968705177307129;;;;;;;;
1612376452.643036,1577,-1.157524824142456;;;;;;;;
1612376453.3511524,1579,-1.021072268486023;;;;;;;;
1612376453.9256814,1581,-2.444845676422119;;;;;;;;
1612376455.09781,1586,-1.0805151462554932;;;;;;;;
1612376455.9385607,1590,-1.057918906211853;;;;;;;;
1612376456.269711,1592,-1.0415890216827393;;;;;;;;
1612376456.269711,1593,-2.5280115604400635;;;;;;;;
1612376457.6360252,1598,-1.2055230140686035;;;;;;;;
1612376458.2803187,1603,-1.0611873865127563;;;;;;;;
1612376458.825869,1605,-1.11468505859375;;;;;;;;
1612376459.6203268,1609,-1.5667223930358887;;;;;;;;
1612376460.3035018,1613,-1.1391520500183105;;;;;;;;
1612376461.057486,1617,-1.2162810564041138;;;;;;;;
1612376463.5155685,1627,-2.0600149631500244;;;;;;;;
1612376464.5019636,1631,-1.7832252979278564;;;;;;;;
1612376464.9368339,1633,-1.268815040588379;;;;;;;;
1612376465.585085,1635,-0.9402908086776733;;;;;;;;
1612376465.8902528,1636,-2.4478697776794434;;;;;;;;
1612376467.0818675,1642,-1.1556364297866821;;;;;;;;
1612376469.342387,1654,-1.438241958618164;;;;;;;;
1612376469.9437811,1658,-1.118638515472412;;;;;;;;
1612376470.3766544,1660,-3.045442581176758;;;;;;;;
1612376470.7207158,1662,-1.2139570713043213;;;;;;;;
1612376471.1495562,1664,-1.069196105003357;;;;;;;;
1612376471.5823998,1666,-1.1033679246902466;;;;;;;;
1612376473.0409946,1674,-1.6249184608459473;;;;;;;;
1612376473.415991,1677,-2.410733699798584;;;;;;;;
1612376473.7473996,1679,-1.0994324684143066;;;;;;;;
1612376475.0147417,1685,-1.5551693439483643;;;;;;;;
1612376475.305963,1687,-1.4527148008346558;;;;;;;;
1612376475.615137,1689,-1.7281885147094727;;;;;;;;
1612376476.2327163,1691,-1.9316736459732056;;;;;;;;
1612376476.8727949,1693,-2.039947509765625;;;;;;;;
1612376477.9074793,1697,-1.6665188074111938;;;;;;;;
1612376478.5460658,1699,-1.8747940063476562;;;;;;;;
1612376479.1882436,1701,-2.0063908100128174;;;;;;;;
1612376479.706133,1703,-1.9622642993927002;;;;;;;;
1612376480.9118092,1706,-2.416995048522949;;;;;;;;
1612376482.8001437,1712,-2.0151984691619873;;;;;;;;
1612376484.0912828,1716,-1.9675095081329346;;;;;;;;
1612376484.6837003,1718,-1.888660192489624;;;;;;;;
1612376485.923388,1722,-1.8573037385940552;;;;;;;;
1612376486.55589,1724,-1.807011365890503;;;;;;;;
1612376488.6343462,1730,-1.9678914546966553;;;;;;;;
1612376489.4372027,1732,-1.7650597095489502;;;;;;;;
1612376490.9252212,1736,-1.8418337106704712;;;;;;;;
1612376491.6054192,1738,-2.1065096855163574;;;;;;;;
1612376496.3632238,1752,-1.8370084762573242;;;;;;;;
1612376496.9184115,1754,-1.9802298545837402;;;;;;;;
1612376497.4898999,1756,-1.963346004486084;;;;;;;;
1612376498.0663342,1758,-1.9324908256530762;;;;;;;;
1612376498.6408217,1760,-1.9064433574676514;;;;;;;;
1612376499.20529,1762,-1.764339804649353;;;;;;;;
1612376499.7937462,1764,-1.7568416595458984;;;;;;;;
1612376500.9426458,1768,-2.2593319416046143;;;;;;;;
1612376501.5181084,1770,-1.9375470876693726;;;;;;;;
1612376502.082599,1772,-1.8798105716705322;;;;;;;;
1612376503.8574295,1778,-2.2201285362243652;;;;;;;;
1612376504.4109485,1780,-1.8387649059295654;;;;;;;;
1612376504.9594812,1782,-2.234039306640625;;;;;;;;
1612376505.5240228,1784,-2.0049734115600586;;;;;;;;
1612376506.6277015,1788,-1.992607593536377;;;;;;;;
1612376510.0957937,1800,-1.9869916439056396;;;;;;;;
1612376510.665276,1802,-2.0505199432373047;;;;;;;;
1612376511.2157965,1804,-1.9486277103424072;;;;;;;;
1612376512.4056146,1808,-1.9394581317901611;;;;;;;;
1612376514.6386218,1816,-1.8442951440811157;;;;;;;;
1612376516.3012097,1822,-1.863917350769043;;;;;;;;
1612376518.0180829,1828,-1.7820760011672974;;;;;;;;
1612376520.338898,1836,-1.9217138290405273;;;;;;;;
1612376522.0343654,1842,-2.0678510665893555;;;;;;;;
1612376522.5958648,1844,-1.830560326576233;;;;;;;;
1612376523.2770414,1846,-1.963489055633545;;;;;;;;
1612376524.7206767,1850,-1.7658376693725586;;;;;;;;
1612376525.2923317,1852,-1.905960202217102;;;;;;;;
1612376525.8886437,1854,-1.846529245376587;;;;;;;;
1612376527.6399598,1860,-2.19390869140625;;;;;;;;
1612376528.2103539,1862,-1.986217737197876;;;;;;;;
