Wall time,Step,Value;;;;;
1612299335.6435666,424,-1.3887674808502197;;;;;
1612299335.6445658,432,-1.8965075016021729;;;;;
1612299335.6445658,441,-1.1201953887939453;;;;;
1612299335.6455603,443,-1.2982897758483887;;;;;
1612299335.6455603,449,-1.5840579271316528;;;;;
1612299335.6465409,460,-1.6080920696258545;;;;;
1612299335.6475248,462,-1.0836780071258545;;;;;
1612299335.6475248,465,-2.7650389671325684;;;;;
1612299335.648523,470,-0.9989598989486694;;;;;
1612299335.648523,473,-2.4691545963287354;;;;;
1612299335.648523,475,-3.114445447921753;;;;;
1612299335.64952,478,-1.60746169090271;;;;;
1612299335.6505218,481,-2.4666459560394287;;;;;
1612299335.6505218,483,-1.4656953811645508;;;;;
1612299335.651539,496,-3.677856922149658;;;;;
1612299335.6525111,511,-1.137702226638794;;;;;
1612299367.3745344,512,-2.5211687088012695;;;;;
1612299367.3755324,514,-1.59855055809021;;;;;
1612299367.3755324,521,-1.1349542140960693;;;;;
1612299367.3775277,540,-1.6114174127578735;;;;;
1612299367.3775277,542,-1.441624402999878;;;;;
1612299367.3775277,546,-1.110657811164856;;;;;
1612299367.379522,554,-1.6246745586395264;;;;;
1612299367.379522,559,-1.3139580488204956;;;;;
1612299367.379522,561,-1.4360370635986328;;;;;
1612299367.379522,563,-1.668694257736206;;;;;
1612299367.3805192,568,-2.5009639263153076;;;;;
1612299367.3825135,592,-1.7307298183441162;;;;;
1612299367.3825135,603,-1.1591100692749023;;;;;
1612299367.3845239,609,-1.6883944272994995;;;;;
1612299367.3845239,613,-1.517283320426941;;;;;
1612299367.3845239,615,-1.2663006782531738;;;;;
1612299367.3845239,619,-1.5949815511703491;;;;;
1612299367.385505,625,-2.7747442722320557;;;;;
1612299367.385505,633,-1.7656283378601074;;;;;
1612299367.385505,637,-1.5502077341079712;;;;;
1612299402.6971073,646,-1.6366305351257324;;;;;
1612299402.6991007,670,-1.5882253646850586;;;;;
1612299402.6991007,672,-1.627540111541748;;;;;
1612299402.7000978,682,-1.5461407899856567;;;;;
1612299402.7000978,684,-1.6965348720550537;;;;;
1612299402.7000978,692,-1.495811939239502;;;;;
1612299402.7000978,694,-1.8953275680541992;;;;;
1612299402.7010953,700,-2.4547388553619385;;;;;
1612299402.7010953,702,-1.4368112087249756;;;;;
1612299402.702093,706,-1.8983263969421387;;;;;
1612299402.702093,712,-3.6283438205718994;;;;;
1612299402.70309,722,-1.3482537269592285;;;;;
1612299402.70309,724,-1.7093229293823242;;;;;
1612299402.70309,726,-1.5897207260131836;;;;;
1612299402.7040877,736,-1.7542319297790527;;;;;
1612299402.7040877,738,-1.9371147155761719;;;;;
1612299402.7040877,740,-1.6920245885849;;;;;
1612299402.7040877,746,-1.7751641273498535;;;;;
1612299402.7060823,763,-1.2104253768920898;;;;;
1612299402.7060823,767,-1.9498341083526611;;;;;
1612299433.476319,775,-1.6850290298461914;;;;;
1612299433.4773142,778,-1.9672719240188599;;;;;
1612299433.4783363,788,-1.5216232538223267;;;;;
1612299433.4783363,789,-2.5128042697906494;;;;;
1612299433.4783363,799,-1.256831407546997;;;;;
1612299433.4793375,805,-1.136904001235962;;;;;
1612299433.4793375,813,-1.6421575546264648;;;;;
1612299433.4803305,821,-1.6275548934936523;;;;;
1612299433.4803305,825,-1.9510102272033691;;;;;
1612299433.48133,832,-2.427471876144409;;;;;
1612299433.48133,834,-1.2307945489883423;;;;;
1612299433.48133,836,-1.561933994293213;;;;;
1612299433.48133,840,-1.8505239486694336;;;;;
1612299433.4823253,849,-1.61052668094635;;;;;
1612299433.4823253,851,-1.8636723756790161;;;;;
1612299433.4823253,859,-1.885941505432129;;;;;
1612299433.4833221,860,-2.4870965480804443;;;;;
1612299433.4833221,862,-1.563706874847412;;;;;
1612299433.4853175,891,-2.413606643676758;;;;;
1612299461.6244738,903,-1.1208685636520386;;;;;
1612299461.6254697,914,-1.3525248765945435;;;;;
1612299461.6254697,916,-1.601511001586914;;;;;
