Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes"
1612270439.4144397,1790,-2.4359071254730225;;;;;
1612270439.851306,1792,-1.227121114730835;;;;;
1612270440.9821393,1798,-1.1397327184677124;;;;;
1612270441.3315864,1800,-1.4498006105422974;;;;;
1612270443.9248374,1813,-2.4357502460479736;;;;;
1612270445.3985698,1819,-0.9729791283607483;;;;;
1612270446.1575723,1823,-0.9750664234161377;;;;;
1612270446.988653,1826,-2.465158224105835;;;;;
1612270447.3077986,1828,-1.0904004573822021;;;;;
1612270448.3689003,1834,-1.8866629600524902;;;;;
1612270449.6236682,1840,-1.6117507219314575;;;;;
1612270450.0815294,1842,-1.3766855001449585;;;;;
1612270450.683907,1844,-1.5121731758117676;;;;;
1612270450.979293,1846,-1.607037901878357;;;;;
1612270452.4109502,1852,-1.8503799438476562;;;;;
1612270454.9882138,1867,-1.3042771816253662;;;;;
1612270455.7467153,1871,-1.1030349731445312;;;;;
1612270457.590846,1878,-2.5389645099639893;;;;;
1612270457.9299676,1880,-1.1601002216339111;;;;;
1612270458.6533678,1885,-1.0134971141815186;;;;;
1612270459.6799479,1889,-1.1050758361816406;;;;;
1612270460.3248513,1893,-1.3079586029052734;;;;;
1612270461.8624861,1901,-2.4968254566192627;;;;;
1612270464.3676698,1912,-2.4138119220733643;;;;;
1612270464.6838222,1914,-1.25614595413208;;;;;
1612270465.3898044,1919,-1.2482742071151733;;;;;
1612270466.0423727,1923,-1.5556634664535522;;;;;
1612270468.0473168,1935,-1.086120843887329;;;;;
1612270468.3405354,1937,-1.0632359981536865;;;;;
1612270469.0628178,1941,-1.2623456716537476;;;;;
1612270469.9508612,1944,-2.4436450004577637;;;;;
1612270471.306349,1952,-3.2192044258117676;;;;;
1612270472.5239122,1960,-1.3472249507904053;;;;;
1612270473.13307,1964,-0.9066370725631714;;;;;
1612270474.657253,1974,-1.3175386190414429;;;;;
1612270474.9372075,1976,-1.2011709213256836;;;;;
1612270475.2273989,1978,-1.149327278137207;;;;;
1612270477.7792938,1992,-1.1408770084381104;;;;;
